SURF.DAT        2.0             Header structure with coordinate parameters
   1                                                                       
Produced by SMERGE Version: 5.57  Level: 070627                            
NONE                                                                       
	2020	1	1	2020	121	0	9	2
		107
		108
2020	1	1
	-5.9 1.7 50 40 1033 
	-5.9 1.7 50 40 1033 
2020	1	2
	-5.7 0.1 0 42 1032.8 
	-5.7 0.1 0 42 1032.8 
2020	1	3
	-5.6 0 0 46 1032.7 
	-5.6 0 0 46 1032.7 
2020	1	4
	-5.4 0 0 50 1032.8 
	-5.4 0 0 50 1032.8 
2020	1	5
	-5.2 0 0 55 1032.3 
	-5.2 0 0 55 1032.3 
2020	1	6
	-4.8 1.9 70 58 1032.5 
	-4.8 1.9 70 58 1032.5 
2020	1	7
	-4.6 2.1 50 62 1032.8 
	-4.6 2.1 50 62 1032.8 
2020	1	8
	-4.6 1.8 50 64 1032.9 
	-4.6 1.8 50 64 1032.9 
2020	1	9
	-4.3 2.3 50 70 1033.4 
	-4.3 2.3 50 70 1033.4 
2020	1	10
	-4.2 1.9 70 76 1034 
	-4.2 1.9 70 76 1034 
2020	1	11
	-3.4 1.5 70 75 1033.5 
	-3.4 1.5 70 75 1033.5 
2020	1	12
	-2.2 1.7 50 72 1032.4 
	-2.2 1.7 50 72 1032.4 
2020	1	13
	-1 1.6 90 67 1031.6 
	-1 1.6 90 67 1031.6 
2020	1	14
	-0.4 1.2 90 65 1031.5 
	-0.4 1.2 90 65 1031.5 
2020	1	15
	0.3 0 0 62 1031.3 
	0.3 0 0 62 1031.3 
2020	1	16
	0.3 0 0 64 1031.7 
	0.3 0 0 64 1031.7 
2020	1	17
	0.2 0.9 290 65 1031.7 
	0.2 0.9 290 65 1031.7 
2020	1	18
	0.1 0.8 50 66 1031.8 
	0.1 0.8 50 66 1031.8 
2020	1	19
	0.1 0.3 0 65 1031.8 
	0.1 0.3 0 65 1031.8 
2020	1	20
	0 1.7 70 67 1031.5 
	0 1.7 70 67 1031.5 
2020	1	21
	-0.4 2.5 50 71 1031.7 
	-0.4 2.5 50 71 1031.7 
2020	1	22
	-0.9 1.5 50 71 1031.8 
	-0.9 1.5 50 71 1031.8 
2020	1	23
	-0.9 1 50 70 1032 
	-0.9 1 50 70 1032 
2020	2	0
	-0.7 2.1 70 70 1031.3 
	-0.7 2.1 70 70 1031.3 
2020	2	1
	-0.7 2.2 50 72 1030.8 
	-0.7 2.2 50 72 1030.8 
2020	2	2
	-0.6 2.2 70 70 1030.4 
	-0.6 2.2 70 70 1030.4 
2020	2	3
	-0.6 2.3 70 70 1030.3 
	-0.6 2.3 70 70 1030.3 
2020	2	4
	-0.7 2.1 50 70 1030.3 
	-0.7 2.1 50 70 1030.3 
2020	2	5
	-0.5 1.5 20 67 1030.2 
	-0.5 1.5 20 67 1030.2 
2020	2	6
	-0.6 1.7 50 69 1030.4 
	-0.6 1.7 50 69 1030.4 
2020	2	7
	-0.5 1.9 50 65 1030.6 
	-0.5 1.9 50 65 1030.6 
2020	2	8
	-0.4 2.3 70 67 1030.5 
	-0.4 2.3 70 67 1030.5 
2020	2	9
	-0.1 2.4 70 67 1031.1 
	-0.1 2.4 70 67 1031.1 
2020	2	10
	0.7 2 50 62 1031 
	0.7 2 50 62 1031 
2020	2	11
	1.7 2 50 57 1030.8 
	1.7 2 50 57 1030.8 
2020	2	12
	2.5 1 50 56 1029.8 
	2.5 1 50 56 1029.8 
2020	2	13
	3.4 1.8 200 56 1028.7 
	3.4 1.8 200 56 1028.7 
2020	2	14
	3.7 2.3 290 58 1028.2 
	3.7 2.3 290 58 1028.2 
2020	2	15
	3.8 2.8 290 58 1028.5 
	3.8 2.8 290 58 1028.5 
2020	2	16
	3.7 2.5 290 58 1028.7 
	3.7 2.5 290 58 1028.7 
2020	2	17
	3.3 3.1 270 62 1028.7 
	3.3 3.1 270 62 1028.7 
2020	2	18
	2.7 2.2 270 61 1028.3 
	2.7 2.2 270 61 1028.3 
2020	2	19
	2 2 290 64 1028.6 
	2 2 290 64 1028.6 
2020	2	20
	1.2 0.7 320 66 1028.9 
	1.2 0.7 320 66 1028.9 
2020	2	21
	0.5 0.9 270 68 1029.2 
	0.5 0.9 270 68 1029.2 
2020	2	22
	0.3 0.4 0 70 1029.1 
	0.3 0.4 0 70 1029.1 
2020	2	23
	-0.4 1.5 270 74 1029.1 
	-0.4 1.5 270 74 1029.1 
2020	3	0
	0 2.6 270 74 1028.8 
	0 2.6 270 74 1028.8 
2020	3	1
	-0.5 1.4 290 78 1028.7 
	-0.5 1.4 290 78 1028.7 
2020	3	2
	-1.1 1.4 360 80 1028.7 
	-1.1 1.4 360 80 1028.7 
2020	3	3
	-1.5 1.5 290 82 1028.2 
	-1.5 1.5 290 82 1028.2 
2020	3	4
	-1.8 2.2 270 81 1028.1 
	-1.8 2.2 270 81 1028.1 
2020	3	5
	-2 1.5 290 81 1028 
	-2 1.5 290 81 1028 
2020	3	6
	-2.5 2.4 290 85 1028 
	-2.5 2.4 290 85 1028 
2020	3	7
	-3 1.4 290 86 1027.9 
	-3 1.4 290 86 1027.9 
2020	3	8
	-3.3 1.7 270 86 1028 
	-3.3 1.7 270 86 1028 
2020	3	9
	-2.6 2.2 290 74 1028.3 
	-2.6 2.2 290 74 1028.3 
2020	3	10
	-1 2.2 320 60 1029 
	-1 2.2 320 60 1029 
2020	3	11
	0.1 3.2 320 48 1028.5 
	0.1 3.2 320 48 1028.5 
2020	3	12
	1.7 2.4 320 42 1028.1 
	1.7 2.4 320 42 1028.1 
2020	3	13
	2.9 2 270 35 1026.9 
	2.9 2 270 35 1026.9 
2020	3	14
	4 3.1 270 30 1026 
	4 3.1 270 30 1026 
2020	3	15
	4.1 2.9 290 28 1026 
	4.1 2.9 290 28 1026 
2020	3	16
	4.3 2.1 340 30 1026.3 
	4.3 2.1 340 30 1026.3 
2020	3	17
	3.3 2.2 320 35 1026 
	3.3 2.2 320 35 1026 
2020	3	18
	2.2 1.3 320 38 1026.4 
	2.2 1.3 320 38 1026.4 
2020	3	19
	1.3 1.8 290 39 1027 
	1.3 1.8 290 39 1027 
2020	3	20
	0.6 1.2 320 43 1027.2 
	0.6 1.2 320 43 1027.2 
2020	3	21
	-0.5 1.2 270 48 1027.2 
	-0.5 1.2 270 48 1027.2 
2020	3	22
	-0.8 0.6 270 50 1026.8 
	-0.8 0.6 270 50 1026.8 
2020	3	23
	-1 0.6 320 55 1026.4 
	-1 0.6 320 55 1026.4 
2020	4	0
	-1.5 1.4 270 58 1026 
	-1.5 1.4 270 58 1026 
2020	4	1
	-1.6 1 290 59 1025.7 
	-1.6 1 290 59 1025.7 
2020	4	2
	-1.9 0.7 360 63 1025.5 
	-1.9 0.7 360 63 1025.5 
2020	4	3
	-2.1 1.1 50 59 1026 
	-2.1 1.1 50 59 1026 
2020	4	4
	-2.3 1.5 50 62 1025.9 
	-2.3 1.5 50 62 1025.9 
2020	4	5
	-2.7 1.4 20 64 1025.4 
	-2.7 1.4 20 64 1025.4 
2020	4	6
	-2.4 1.3 50 64 1025.4 
	-2.4 1.3 50 64 1025.4 
2020	4	7
	-1.8 1.6 50 62 1025.3 
	-1.8 1.6 50 62 1025.3 
2020	4	8
	-1.8 1.1 70 63 1025.5 
	-1.8 1.1 70 63 1025.5 
2020	4	9
	-1.5 1.6 50 62 1026.2 
