sec,dt,tp,wv,wd,rh,pr
107,2020.1.1 1:00,-5.9,1.7,50,40,1033
107,2020.1.1 2:00,-5.7,0.1,0,42,1032.8
107,2020.1.1 3:00,-5.6,0,0,46,1032.7
107,2020.1.1 4:00,-5.4,0,0,50,1032.8
107,2020.1.1 5:00,-5.2,0,0,55,1032.3
107,2020.1.1 6:00,-4.8,1.9,70,58,1032.5
107,2020.1.1 7:00,-4.6,2.1,50,62,1032.8
107,2020.1.1 8:00,-4.6,1.8,50,64,1032.9
107,2020.1.1 9:00,-4.3,2.3,50,70,1033.4
107,2020.1.1 10:00,-4.2,1.9,70,76,1034
107,2020.1.1 11:00,-3.4,1.5,70,75,1033.5
107,2020.1.1 12:00,-2.2,1.7,50,72,1032.4
107,2020.1.1 13:00,-1,1.6,90,67,1031.6
107,2020.1.1 14:00,-0.4,1.2,90,65,1031.5
107,2020.1.1 15:00,0.3,0,0,62,1031.3
107,2020.1.1 16:00,0.3,0,0,64,1031.7
107,2020.1.1 17:00,0.2,0.9,290,65,1031.7
107,2020.1.1 18:00,0.1,0.8,50,66,1031.8
107,2020.1.1 19:00,0.1,0.3,0,65,1031.8
107,2020.1.1 20:00,0,1.7,70,67,1031.5
107,2020.1.1 21:00,-0.4,2.5,50,71,1031.7
107,2020.1.1 22:00,-0.9,1.5,50,71,1031.8
107,2020.1.1 23:00,-0.9,1,50,70,1032
107,2020.1.2 0:00,-0.7,2.1,70,70,1031.3
107,2020.1.2 1:00,-0.7,2.2,50,72,1030.8
107,2020.1.2 2:00,-0.6,2.2,70,70,1030.4
107,2020.1.2 3:00,-0.6,2.3,70,70,1030.3
107,2020.1.2 4:00,-0.7,2.1,50,70,1030.3
107,2020.1.2 5:00,-0.5,1.5,20,67,1030.2
107,2020.1.2 6:00,-0.6,1.7,50,69,1030.4
107,2020.1.2 7:00,-0.5,1.9,50,65,1030.6
107,2020.1.2 8:00,-0.4,2.3,70,67,1030.5
107,2020.1.2 9:00,-0.1,2.4,70,67,1031.1
107,2020.1.2 10:00,0.7,2,50,62,1031
107,2020.1.2 11:00,1.7,2,50,57,1030.8
107,2020.1.2 12:00,2.5,1,50,56,1029.8
107,2020.1.2 13:00,3.4,1.8,200,56,1028.7
107,2020.1.2 14:00,3.7,2.3,290,58,1028.2
107,2020.1.2 15:00,3.8,2.8,290,58,1028.5
107,2020.1.2 16:00,3.7,2.5,290,58,1028.7
107,2020.1.2 17:00,3.3,3.1,270,62,1028.7
107,2020.1.2 18:00,2.7,2.2,270,61,1028.3
107,2020.1.2 19:00,2,2,290,64,1028.6
107,2020.1.2 20:00,1.2,0.7,320,66,1028.9
107,2020.1.2 21:00,0.5,0.9,270,68,1029.2
107,2020.1.2 22:00,0.3,0.4,0,70,1029.1
107,2020.1.2 23:00,-0.4,1.5,270,74,1029.1
107,2020.1.3 0:00,0,2.6,270,74,1028.8
107,2020.1.3 1:00,-0.5,1.4,290,78,1028.7
107,2020.1.3 2:00,-1.1,1.4,360,80,1028.7
107,2020.1.3 3:00,-1.5,1.5,290,82,1028.2
